action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,11,,11,,,,11,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.064545,0.064545,,,0.064545,,23.666667,23.666667,0,2025-12-05,2025-12-05,1,female,30,,,,,30,0.71,2,3,1,10,3,2
,7,,,9,2,2,7,,,,,,,,364,1,364,4,3,,351,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,15,,1.963333,"[{'action_type': 'outbound_click', 'value': '1.963333'}]",1.963333,8.835,2.524286,,0.048544,0.048544,4.4175,,0.050342,1.178,20.333717,20.788235,1.726122,2025-12-05,2025-12-05,1.022353,male,869,1.035673,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.035673'}]",850,17.67,29,4,29,301,139,78
,,,,,,,,,,,,,,,3,,3,,,,3,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-05,2025-12-05,1,unknown,6,,,,,6,0.09,,2,,2,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992823784,02 Mike_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.1,0.1,,,0.1,,40,40,0,2025-12-05,2025-12-05,1,male,5,,,,,5,0.2,,3,,2,1,
,,,,,,,,,,,,,,,,,,,,,,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,13.333333,13.333333,0,2025-12-05,2025-12-05,1,female,3,,,,,3,0.04,,2,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.055,0.055,,,0.055,,12.222222,12.222222,0,2025-12-05,2025-12-05,1,male,9,,,,,9,0.11,,3,,2,2,1
,,,,,,,,,,,,,,,3,,3,1,1,,2,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,0.06,,0.03,,20,20,0,2025-12-05,2025-12-05,1,female,3,,,,,3,0.06,,7,,2,2,1
,,,,,,,,,,,,,,,13,,13,,,,13,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.044615,0.044615,,,0.044615,,19.333333,20,0,2025-12-05,2025-12-05,1.034483,male,30,,,,,29,0.58,,4,,10,6,6
,,,,,,,,,,,,,,,21,,21,,,,21,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.06619,0.06619,,,0.06619,,27.8,28.367347,0,2025-12-05,2025-12-05,1.020408,female,50,,,,,49,1.39,3,4,3,18,12,8
,,,,,,,,,,,,,,,3,,3,,,,3,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.156667,0.156667,,,0.156667,,42.727273,42.727273,0,2025-12-05,2025-12-05,1,male,11,,,,,11,0.47,1,4,1,2,1,1
