action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,1,1,1,1,,,,,,,,,9,,9,,,,8,,6926066018184,13_blonde_jumpoff_redcar,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,1,,0.87,"[{'action_type': 'outbound_click', 'value': '0.87'}]",0.87,0.87,0.87,,,0.096667,0.096667,,,0.10875,0.87,41.428571,41.428571,4.761905,2025-12-13,2025-12-13,1,21,4.761905,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.761905'}]",instagram,21,0.87,1,3,1,7,2,2
,,,,,,,,,,,,,,,,,,,,,,,,6926066018184,13_blonde_jumpoff_redcar,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,2,,,,,messenger,2,0.02,,1,,,,
,75,,,23,8,8,75,,,,,,,,,388,,388,,,,365,,6926066642184,35_blonde_bent,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,22,"[{'action_type': 'subscribe_mobile_app', 'value': '9.113333'}, {'action_type': 'subscribe_total', 'value': '9.113333'}, {'action_type': 'start_trial_mobile_app', 'value': '5.468'}, {'action_type': 'start_trial_total', 'value': '5.468'}]",1.188696,"[{'action_type': 'outbound_click', 'value': '1.188696'}]",1.188696,3.4175,0.364533,,,0.070464,0.070464,,,0.074904,1.242727,17.753247,20.296956,1.428571,2025-12-13,2025-12-13,1.143281,1540,1.493506,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '1.493506'}]",facebook,1347,27.34,43,3,41,311,133,80
,205,,,22,12,12,205,,,,5,,,,,432,1,432,6,5,,404,,6926066642184,35_blonde_bent,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,25,"[{'action_type': 'subscribe_mobile_app', 'value': '8.895'}, {'action_type': 'subscribe_total', 'value': '8.895'}, {'action_type': 'start_trial_mobile_app', 'value': '7.116'}, {'action_type': 'start_trial_total', 'value': '7.116'}]",1.617273,"[{'action_type': 'outbound_click', 'value': '1.617273'}]",1.617273,2.965,0.173561,,,0.082361,0.082361,5.93,,0.088069,1.4232,19.888206,20.880282,1.397429,2025-12-13,2025-12-13,1.049883,1789,1.229737,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '1.229737'}]",instagram,1704,35.58,37,3,37,368,178,100
,,,,,,,,,,,,,,,,,,,,,,,,6926066642184,35_blonde_bent,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,5,5,0,2025-12-13,2025-12-13,1,2,,,,,messenger,2,0.01,,0,,,,
,3,,,3,,,3,,,,,,,,,53,,53,,,,50,,6926066642184,35_blonde_bent,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,3,,0.473333,"[{'action_type': 'outbound_click', 'value': '0.473333'}]",0.473333,,0.473333,,,0.026792,0.026792,,,0.0284,0.473333,13.396226,13.52381,2.830189,2025-12-13,2025-12-13,1.009524,106,2.830189,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.830189'}]",threads,105,1.42,12,7,12,46,28,17
,,,,,,,,,,,,,,,,2,,2,,,,2,,6926070134384,23 Prerna lilkim_eiffeltower,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.035,0.035,,,0.035,,17.5,17.5,0,2025-12-13,2025-12-13,1,4,,,,,facebook,4,0.07,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6926070134384,23 Prerna lilkim_eiffeltower,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.17,0.17,,,0.17,,18.888889,18.888889,0,2025-12-13,2025-12-13,1,9,,,,,instagram,9,0.17,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6926070134384,23 Prerna lilkim_eiffeltower,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.01,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6927319919984,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6927319919984,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0,,2,,,,
,55,,,8,3,3,55,,,,,,,,,8,,8,,,,,,6927326214584,New App promotion Ad,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '2.77'}, {'action_type': 'subscribe_total', 'value': '2.77'}, {'action_type': 'start_trial_mobile_app', 'value': '2.77'}, {'action_type': 'start_trial_total', 'value': '2.77'}]",1.03875,"[{'action_type': 'outbound_click', 'value': '1.03875'}]",1.03875,2.77,0.151091,,,1.03875,1.03875,,,,1.187143,12.256637,12.496241,1.032448,2025-12-13,2025-12-13,1.019549,678,1.179941,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.179941'}]",facebook,665,8.31,,,,,,
,16,,,,,,16,,,,,,,,,,,,,,,,,6927326214584,New App promotion Ad,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,2,,,,,,0.071875,,,,,,,,0.575,17.164179,17.164179,2.985075,2025-12-13,2025-12-13,1,67,,,,,instagram,67,1.15,,,,,,
,,,,,,,,,,,,,,,,13,,13,,,,13,,6927327516184,jesus_rap_1_4x5 - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.043077,0.043077,,,0.043077,,12.444444,12.444444,0,2025-12-13,2025-12-13,1,45,,,,,facebook,45,0.56,2,3,2,12,6,4
,,,,,,,,,,,,,,,,28,,28,,,,28,,6927327516184,jesus_rap_1_4x5 - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.04,0.04,,,0.04,,17.777778,17.777778,0,2025-12-13,2025-12-13,1,63,,,,,instagram,63,1.12,2,4,2,27,11,4
,8,,,6,2,2,8,,,,5,,,,,218,,218,5,5,,207,,6927327516384,04 Morgan_humble - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,6,,1.381667,"[{'action_type': 'outbound_click', 'value': '1.381667'}]",1.381667,4.145,1.03625,,,0.038028,0.038028,1.658,,0.040048,1.381667,16.71371,16.71371,1.209677,2025-12-13,2025-12-13,1,496,1.209677,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.209677'}]",facebook,496,8.29,20,4,20,185,89,51
,2,,,2,,,2,,,,1,,,,,67,,67,1,1,,64,,6927327516384,04 Morgan_humble - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,2,,2.135,"[{'action_type': 'outbound_click', 'value': '2.135'}]",2.135,,2.135,,,0.063731,0.063731,4.27,,0.066719,2.135,26.196319,26.196319,1.226994,2025-12-13,2025-12-13,1,163,1.226994,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.226994'}]",instagram,163,4.27,9,3,9,53,22,13
,1,,,7,2,2,1,,,,,,,,,171,,171,,,,164,,6927327516584,04_MorganF_Nuthin But A G Thang - Copy 2,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,7,,0.782857,"[{'action_type': 'outbound_click', 'value': '0.782857'}]",0.782857,2.74,5.48,,,0.032047,0.032047,,,0.033415,0.782857,13.768844,14.233766,1.758794,2025-12-13,2025-12-13,1.033766,398,1.758794,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.758794'}]",facebook,385,5.48,14,4,14,142,57,32
,,,,2,,,,,,,3,,,,,121,1,121,4,3,,115,,6927327516584,04_MorganF_Nuthin But A G Thang - Copy 2,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,2,,2.615,"[{'action_type': 'outbound_click', 'value': '2.615'}]",2.615,,,,,0.043223,0.043223,1.3075,,0.045478,2.615,17.035831,17.035831,0.651466,2025-12-13,2025-12-13,1,307,0.651466,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.651466'}]",instagram,307,5.23,6,3,6,100,42,24
,,,,,,,,,,,,,,,,4,,4,,,,4,,6927327516584,04_MorganF_Nuthin But A G Thang - Copy 2,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.0575,0.0575,,,0.0575,,32.857143,32.857143,0,2025-12-13,2025-12-13,1,7,,,,,threads,7,0.23,1,6,1,4,2,1
,11,,,3,1,1,11,,,,1,,,,,145,,145,1,1,,141,,6927327516784,02 Eddie_Snoop - Copy 2,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,3,,1.94,"[{'action_type': 'outbound_click', 'value': '1.94'}]",1.94,5.82,0.529091,,,0.040138,0.040138,5.82,,0.041277,1.94,16.820809,16.918605,0.867052,2025-12-13,2025-12-13,1.005814,346,0.867052,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.867052'}]",facebook,344,5.82,13,4,11,125,48,33
,9,,,2,,,9,,,,2,,,,,123,,123,2,2,,119,,6927327516784,02 Eddie_Snoop - Copy 2,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,3,,2.715,"[{'action_type': 'outbound_click', 'value': '2.715'}]",2.715,,0.603333,,,0.044146,0.044146,2.715,,0.04563,1.81,18.282828,18.282828,1.010101,2025-12-13,2025-12-13,1,297,0.673401,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.673401'}]",instagram,297,5.43,6,4,6,108,57,31
,,,,,,,,,,,,,,,,3,,3,,,,3,,6927327516784,02 Eddie_Snoop - Copy 2,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.076667,0.076667,,,0.076667,,32.857143,32.857143,0,2025-12-13,2025-12-13,1,7,,,,,threads,7,0.23,,5,,3,2,1
,20,,,6,3,3,20,,,,11,,,,,373,,373,11,11,,356,,6927327516984,01 Morgan_Snoop_Ginndjuice_01 - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,6,,2.245,"[{'action_type': 'outbound_click', 'value': '2.245'}]",2.245,4.49,0.6735,,,0.036113,0.036113,1.224545,,0.037837,2.245,15.429553,15.429553,0.687285,2025-12-13,2025-12-13,1,873,0.687285,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '0.687285'}]",facebook,873,13.47,32,4,30,326,155,88
,6,,,5,1,1,6,,,,3,,,,,168,,168,3,3,,160,,6927327516984,01 Morgan_Snoop_Ginndjuice_01 - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,5,,2.086,"[{'action_type': 'outbound_click', 'value': '2.086'}]",2.086,10.43,1.738333,,,0.062083,0.062083,3.476667,,0.065188,2.086,17.982759,18.13913,0.862069,2025-12-13,2025-12-13,1.008696,580,0.862069,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.862069'}]",instagram,575,10.43,11,3,11,139,71,28
,,,,,,,,,,,,,,,,19,,19,,,,19,,6927327516984,01 Morgan_Snoop_Ginndjuice_01 - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.035789,0.035789,,,0.035789,,20.606061,20.606061,0,2025-12-13,2025-12-13,1,33,,,,,threads,33,0.68,3,6,3,16,8,6
,,,,,,,,,,,1,,,,,35,,35,1,1,,34,,6927328151184,02 Eddie_Snoop - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.048571,0.048571,1.7,,0.05,,17.708333,17.708333,0,2025-12-13,2025-12-13,1,96,,,,,facebook,96,1.7,2,3,2,29,12,6
,,,,,,,,,,,1,,,,,22,,22,1,1,,21,,6927328151184,02 Eddie_Snoop - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.043182,0.043182,0.95,,0.045238,,11.309524,11.309524,0,2025-12-13,2025-12-13,1,84,,,,,instagram,84,0.95,1,2,1,14,2,1
,,,,,,,,,,,,,,,,17,,17,,,,17,,6927328151184,02 Eddie_Snoop - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.022353,0.022353,,,0.022353,,13.571429,13.571429,0,2025-12-13,2025-12-13,1,28,,,,,threads,28,0.38,5,8,5,16,11,7
,2,,,1,,,2,,,,,,,,,15,,15,,,,14,,6927328151384,04_MorganF_Nuthin But A G Thang - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,1,,0.58,"[{'action_type': 'outbound_click', 'value': '0.58'}]",0.58,,0.29,,,0.038667,0.038667,,,0.041429,0.58,19.333333,19.333333,3.333333,2025-12-13,2025-12-13,1,30,3.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.333333'}]",facebook,30,0.58,,4,,11,7,4
,,,,,,,,,,,,,,,,3,,3,,,,3,,6927328151384,04_MorganF_Nuthin But A G Thang - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.043333,0.043333,,,0.043333,,13,13,0,2025-12-13,2025-12-13,1,10,,,,,instagram,10,0.13,,2,,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,6927328151584,01 Morgan_Snoop_Ginndjuice_01 - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,,,,,,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,facebook,2,0.03,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6927328151584,01 Morgan_Snoop_Ginndjuice_01 - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.04,0.04,,,0.04,,8,8,0,2025-12-13,2025-12-13,1,5,,,,,instagram,5,0.04,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6927328151584,01 Morgan_Snoop_Ginndjuice_01 - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0,,,,,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6927328151784,04 Morgan_humble - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.0625,0.0625,,,0.0625,,20.833333,20.833333,0,2025-12-13,2025-12-13,1,12,,,,,facebook,12,0.25,1,4,1,3,1,1
,,,,,,,,,,,,,,,,6,,6,,,,6,,6927328151784,04 Morgan_humble - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.051667,0.051667,,,0.051667,,14.761905,14.761905,0,2025-12-13,2025-12-13,1,21,,,,,instagram,21,0.31,,2,,6,2,
,,,,,,,,,,,,,,,,,,,,,,,,6927328151784,04 Morgan_humble - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.02,,1,,,,
,,,,,,,,,,,2,,,,,13,,13,2,2,,11,,6927328151984,03_blackbodysuit_Big energy - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.031538,0.031538,0.205,,0.037273,,16.4,16.4,0,2025-12-13,2025-12-13,1,25,,,,,facebook,25,0.41,1,4,1,10,5,2
,,,,,,,,,,,,,,,,6,,6,,,,6,,6927328151984,03_blackbodysuit_Big energy - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.045,0.045,,,0.045,,19.285714,19.285714,0,2025-12-13,2025-12-13,1,14,,,,,instagram,14,0.27,1,5,1,6,4,3
,,,,,,,,,,,,,,,,1,,1,,,,1,,6927328151984,03_blackbodysuit_Big energy - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,threads,2,0.03,,4,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6927328152184,35_blonde_bent - Copy,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.19,0.19,,,0.19,,27.142857,27.142857,0,2025-12-13,2025-12-13,1,7,,,,,facebook,7,0.19,,4,,1,1,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6927328152184,35_blonde_bent - Copy,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.043333,0.043333,,,0.043333,,13,13,0,2025-12-13,2025-12-13,1,10,,,,,instagram,10,0.13,1,3,1,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6927328152384,jesus_rap_1_4x5 - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.01,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6927328152384,jesus_rap_1_4x5 - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0,,11,,1,1,1
,4,1,,2,,,4,,,,,,,,,47,,47,,,,45,,6927328152584,14 blonde - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,2,,1.12,"[{'action_type': 'outbound_click', 'value': '1.12'}]",1.12,,0.56,,,0.04766,0.04766,,,0.049778,1.12,15.238095,15.886525,1.360544,2025-12-13,2025-12-13,1.042553,147,1.360544,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.360544'}]",facebook,141,2.24,5,12,5,40,23,16
,4,,,3,,,4,,,,3,,,,,76,,76,3,3,,70,,6927328152584,14 blonde - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,3,,1.266667,"[{'action_type': 'outbound_click', 'value': '1.266667'}]",1.266667,,0.95,,,0.05,0.05,1.266667,,0.054286,1.266667,19.387755,20,1.530612,2025-12-13,2025-12-13,1.031579,196,1.530612,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.530612'}]",instagram,190,3.8,8,4,8,65,30,17
,,,,,,,,,,,,,,,,1,,1,,,,1,,6927328152584,14 blonde - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.01,,3,,,,
,1,1,,1,,,1,,,,,,,,,4,,4,,,,3,,6927328152784,12_prerna_noendcardaudio - Copy,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,1,,0.09,"[{'action_type': 'outbound_click', 'value': '0.09'}]",0.09,,0.09,,,0.0225,0.0225,,,0.03,0.09,9,9,10,2025-12-13,2025-12-13,1,10,10,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '10'}]",facebook,10,0.09,,3,,3,1,
,,,,,,,,,,,,,,,,16,,16,,,,16,,6927328152784,12_prerna_noendcardaudio - Copy,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,,,,,,,,,0.038125,0.038125,,,0.038125,,15.641026,15.641026,0,2025-12-13,2025-12-13,1,39,,,,,instagram,39,0.61,2,7,2,13,6,5
